# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
3.199e+08,1.009e-08,2.267e-02,3.588e-05,9.312e-09,2.057e-02,3.257e-05,7.198e-06
3.548e+08,1.018e-08,1.939e-02,3.585e-05,9.411e-09,1.761e-02,3.257e-05,7.621e-06
3.936e+08,1.027e-08,1.658e-02,3.581e-05,9.514e-09,1.508e-02,3.257e-05,8.062e-06
4.365e+08,1.037e-08,1.417e-02,3.576e-05,9.622e-09,1.291e-02,3.257e-05,8.523e-06
4.842e+08,1.047e-08,1.211e-02,3.570e-05,9.735e-09,1.105e-02,3.257e-05,9.004e-06
5.370e+08,1.057e-08,1.035e-02,3.564e-05,9.853e-09,9.458e-03,3.257e-05,9.507e-06
5.957e+08,1.068e-08,8.843e-03,3.557e-05,9.976e-09,8.097e-03,3.257e-05,1.003e-05
6.607e+08,1.079e-08,7.554e-03,3.549e-05,1.011e-08,6.931e-03,3.257e-05,1.059e-05
7.328e+08,1.090e-08,6.450e-03,3.540e-05,1.024e-08,5.934e-03,3.257e-05,1.116e-05
8.128e+08,1.102e-08,5.506e-03,3.531e-05,1.038e-08,5.079e-03,3.257e-05,1.177e-05
9.016e+08,1.115e-08,4.699e-03,3.519e-05,1.053e-08,4.348e-03,3.257e-05,1.241e-05
1.000e+09,1.127e-08,4.008e-03,3.507e-05,1.069e-08,3.722e-03,3.257e-05,1.308e-05
